2.305076868040487
         5656548 function calls (5654242 primitive calls) in 2.465 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   400000    0.782    0.000    1.514    0.000 game.py:26(_step)
   400000    0.399    0.000    0.399    0.000 game.py:61(ship_collisions)
   400000    0.243    0.000    2.227    0.000 game.py:23(step)
   400000    0.178    0.000    0.178    0.000 game.py:77(shipyard_collisions)
   800000    0.145    0.000    0.471    0.000 player.py:19(compute_actions)
   800000    0.141    0.000    0.325    0.000 main.py:5(agent)
   800000    0.123    0.000    0.184    0.000 tools.py:7(actions_dict)
   400000    0.099    0.000    0.099    0.000 game.py:53(halite_deposit)
        2    0.078    0.039    2.471    1.236 main.py:1(<module>)
   800000    0.061    0.000    0.061    0.000 {method 'copy' of 'dict' objects}
   400000    0.055    0.000    0.055    0.000 game.py:50(halite_regeneration)
      132    0.028    0.000    0.028    0.000 {built-in method marshal.loads}
  321/318    0.013    0.000    0.019    0.000 {built-in method builtins.__build_class__}
    21/19    0.012    0.001    0.015    0.001 {built-in method _imp.create_dynamic}
      314    0.005    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      663    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      132    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
      132    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1634    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     2619    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1634    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    143/1    0.002    0.000    2.465    2.465 {built-in method builtins.exec}
      132    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    38/17    0.002    0.000    0.005    0.000 sre_parse.py:475(_parse)
      163    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      413    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      264    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1880    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      413    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
       31    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
   843/83    0.001    0.000    0.132    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    166/1    0.001    0.000    0.160    0.160 <frozen importlib._bootstrap>:978(_find_and_load)
      158    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
