Loading environment football failed: No module named 'gfootball'
-- 7.185823394916952
         24794382 function calls (23595294 primitive calls) in 7.519 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    443/1    0.003    0.000    7.522    7.522 {built-in method builtins.exec}
        1    0.000    0.000    7.522    7.522 test.py:1(<module>)
        1    0.002    0.002    7.186    7.186 core.py:210(run)
      399    0.007    0.000    5.186    0.013 core.py:161(step)
      401    0.008    0.000    4.731    0.012 core.py:525(__run_interpreter)
      401    0.006    0.000    4.407    0.011 halite.py:179(interpreter)
     1596    0.989    0.001    3.293    0.002 helpers.py:527(__init__)
      399    0.206    0.001    2.410    0.006 helpers.py:725(next)
      798    0.003    0.000    2.110    0.003 helpers.py:641(observation)
      798    0.198    0.000    2.092    0.003 helpers.py:645(<listcomp>)
      399    0.003    0.000    1.987    0.005 core.py:616(act)
21143/2445    0.022    0.000    1.930    0.001 copy.py:132(deepcopy)
      798    0.003    0.000    1.897    0.002 core.py:91(act_agent)
      798    0.009    0.000    1.895    0.002 agent.py:137(act)
      399    0.002    0.000    1.880    0.005 helpers.py:656(__deepcopy__)
      798    0.004    0.000    1.662    0.002 test.py:6(agent)
   357339    0.407    0.000    1.523    0.000 helpers.py:660(__getitem__)
  1418184    0.761    0.000    0.944    0.000 helpers.py:33(__new__)
  1063569    0.496    0.000    0.772    0.000 helpers.py:85(__hash__)
1090577/4810    0.310    0.000    0.742    0.000 utils.py:85(structify)
50560/5612    0.037    0.000    0.717    0.000 utils.py:89(<dictcomp>)
20819/11222    0.153    0.000    0.548    0.000 utils.py:87(<listcomp>)
   357972    0.095    0.000    0.534    0.000 helpers.py:88(__mod__)
   357972    0.198    0.000    0.438    0.000 helpers.py:44(map)
  1425531    0.298    0.000    0.403    0.000 helpers.py:132(__getitem__)
   705432    0.277    0.000    0.383    0.000 helpers.py:54(to_index)
   703836    0.377    0.000    0.377    0.000 helpers.py:302(__init__)
      806    0.002    0.000    0.372    0.000 utils.py:155(process_schema)
   355110    0.153    0.000    0.368    0.000 helpers.py:61(from_index)
      806    0.003    0.000    0.349    0.000 validators.py:871(validate)
   703836    0.144    0.000    0.342    0.000 helpers.py:155(halite)
        3    0.000    0.000    0.328    0.109 __init__.py:15(<module>)
    493/2    0.002    0.000    0.320    0.160 <frozen importlib._bootstrap>:978(_find_and_load)
    493/2    0.002    0.000    0.320    0.160 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    463/2    0.002    0.000    0.320    0.160 <frozen importlib._bootstrap>:663(_load_unlocked)
    411/2    0.001    0.000    0.320    0.160 <frozen importlib._bootstrap_external>:722(exec_module)
    606/2    0.000    0.000    0.320    0.160 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      806    0.001    0.000    0.276    0.000 validators.py:291(check_schema)
16771/1612    0.027    0.000    0.244    0.000 validators.py:296(iter_errors)
     2002    0.015    0.000    0.216    0.000 core.py:454(__state_schema)
   398/37    0.001    0.000    0.208    0.006 {built-in method builtins.__import__}
  2700214    0.201    0.000    0.204    0.000 {built-in method builtins.isinstance}
2539/1612    0.012    0.000    0.195    0.000 _validators.py:276(properties)
  1434587    0.188    0.000    0.188    0.000 {built-in method __new__ of type object at 0x55990a18b3c0}
   361962    0.079    0.000    0.186    0.000 helpers.py:211(size)
15159/4700    0.007    0.000    0.185    0.000 validators.py:343(descend)
 1780/581    0.002    0.000    0.180    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.173    0.173 agent.py:15(<module>)
1806/1666    0.004    0.000    0.151    0.000 _validators.py:252(ref)
  1769001    0.148    0.000    0.148    0.000 helpers.py:36(x)
        7    0.000    0.000    0.138    0.020 __init__.py:109(import_module)
     15/7    0.000    0.000    0.138    0.020 <frozen importlib._bootstrap>:994(_gcd_import)
  1769001    0.132    0.000    0.132    0.000 helpers.py:40(y)
        1    0.000    0.000    0.131    0.131 halite.py:15(<module>)
       19    0.001    0.000    0.130    0.007 __init__.py:1(<module>)
        2    0.000    0.000    0.128    0.064 __init__.py:41(<module>)
        1    0.000    0.000    0.124    0.124 __init__.py:106(<module>)
  1548678    0.121    0.000    0.121    0.000 {method 'get' of 'dict' objects}
1080166/1079762    0.105    0.000    0.106    0.000 {built-in method builtins.hash}
     1612    0.002    0.000    0.100    0.000 validators.py:262(__init__)
     1612    0.002    0.000    0.098    0.000 validators.py:666(from_schema)
     1612    0.011    0.000    0.094    0.000 validators.py:636(__init__)
      399    0.001    0.000    0.086    0.000 core.py:622(<listcomp>)
      798    0.002    0.000    0.086    0.000 core.py:645(__get_shared_state)
      411    0.003    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    50560    0.049    0.000    0.081    0.000 utils.py:74(__init__)
   175161    0.030    0.000    0.078    0.000 helpers.py:236(regen_rate)
   175161    0.030    0.000    0.075    0.000 helpers.py:241(max_cell_halite)
     4836    0.009    0.000    0.072    0.000 parse.py:496(urljoin)
   704235    0.068    0.000    0.068    0.000 helpers.py:615(cells)
